method,n,iteration,absolute_residual,relative_residual
"CG",16,19,0.0015769559505804432,0.00012092065376816709
"CG",16,20,0.0009182330188822023,7.04099165952509E-05
"CG",16,21,0.00044473943690403263,3.410252737061396E-05
"CG",16,22,0.00018789304886430736,1.4407599843739081E-05
"CG",16,23,8.996337226377462E-05,6.89837264339597E-06
"CG",16,24,3.810776826013762E-05,2.9220957313142054E-06
"CG",16,25,1.0716520082155355E-05,8.217405273602876E-07
"CG",16,26,4.879344006462627E-06,3.741470819169536E-07
"CG",16,27,2.116089157637447E-06,1.6226127576934954E-07
"CG",16,28,1.3582920160292432E-06,1.0415354882036023E-07
"CG",16,29,9.351826053825505E-07,7.170960735704283E-08
"CG",16,30,4.2332986140040697E-07,3.246084558118639E-08
"CG",16,31,2.715016960012795E-07,2.081869348827201E-08
"CG",16,32,2.0064581779039377E-07,1.5385479508246598E-08
"CG",16,33,7.775434487239285E-08,5.962186966493618E-09
"Jacobi-CG",16,0,13.041245655219772,1
"Jacobi-CG",16,1,19.587675372562742,1.5019788669284637
"Jacobi-CG",16,2,11.44506715616292,0.8776053652192358
"Jacobi-CG",16,3,7.5749655663488324,0.5808467815585503
"Jacobi-CG",16,4,5.114756393428464,0.3921984547067617
"Jacobi-CG",16,5,3.69934425173639,0.28366494655023416
"Jacobi-CG",16,6,3.0365748889404562,0.23284392988372732
"Jacobi-CG",16,7,1.7424581457549337,0.13361132761558808
"Jacobi-CG",16,8,1.158227263024495,0.08881262523882551
"Jacobi-CG",16,9,0.4900012221557697,0.037573191634469844
"Jacobi-CG",16,10,0.2231165636260614,0.01710853161766482
"Jacobi-CG",16,11,0.0804715228702908,0.00617053960931117
"Jacobi-CG",16,12,0.04026888371792346,0.003087809614398744
"Jacobi-CG",16,13,0.04757685070758371,0.0036481830007197994
"Jacobi-CG",16,14,0.029067891257301685,0.002228919845986279
"Jacobi-CG",16,15,0.011513820218588289,0.0008828773357229009
"Jacobi-CG",16,16,0.00830854822826832,0.0006370977472495363
"Jacobi-CG",16,17,0.005941658091622555,0.0004556051046584189
"Jacobi-CG",16,18,0.0027877241685039162,0.00021376210848295208
"Jacobi-CG",16,19,0.0015769559505628434,0.00012092065376681753
"Jacobi-CG",16,20,0.0009182330188754265,7.040991659473133E-05
"Jacobi-CG",16,21,0.00044473943690145754,3.41025273704165E-05
"Jacobi-CG",16,22,0.00018789304886313493,1.440759984364918E-05
"Jacobi-CG",16,23,8.996337226484626E-05,6.898372643478142E-06
"Jacobi-CG",16,24,3.810776826159162E-05,2.9220957314256974E-06
"Jacobi-CG",16,25,1.071652008260975E-05,8.217405273951306E-07
"Jacobi-CG",16,26,4.8793440066627844E-06,3.7414708193230163E-07
"Jacobi-CG",16,27,2.1160891576630285E-06,1.6226127577131113E-07
"Jacobi-CG",16,28,1.358292016041581E-06,1.0415354882130629E-07
"Jacobi-CG",16,29,9.351826053911177E-07,7.170960735769975E-08
"Jacobi-CG",16,30,4.233298614143152E-07,3.246084558225287E-08
"Jacobi-CG",16,31,2.7150169600682865E-07,2.0818693488697516E-08
"Jacobi-CG",16,32,2.0064581779212174E-07,1.53854795083791E-08
"Jacobi-CG",16,33,7.775434487262106E-08,5.962186966511117E-09
"Compact-symmetric(beta=0.12)",16,0,13.041245655219772,1
"Compact-symmetric(beta=0.12)",16,1,17.568811882478673,1.3471728350923855
"Compact-symmetric(beta=0.12)",16,2,9.844038624867332,0.7548388309767975
"Compact-symmetric(beta=0.12)",16,3,6.125313545671712,0.4696877666145372
"Compact-symmetric(beta=0.12)",16,4,3.730544392981609,0.2860573668810889
"Compact-symmetric(beta=0.12)",16,5,2.0838883865357927,0.15979212734956144
"Compact-symmetric(beta=0.12)",16,6,0.948633076585961,0.0727409866868254
"Compact-symmetric(beta=0.12)",16,7,0.25228818077582005,0.019345405143475804
"Compact-symmetric(beta=0.12)",16,8,0.05126868718865268,0.003931272252979326
"Compact-symmetric(beta=0.12)",16,9,0.030908183343220104,0.002370033059752162
"Compact-symmetric(beta=0.12)",16,10,0.009305311633258402,0.0007135293574915477
"Compact-symmetric(beta=0.12)",16,11,0.004731295155473945,0.00036279472686569935
"Compact-symmetric(beta=0.12)",16,12,0.001196658690409573,9.175953908441324E-05
"Compact-symmetric(beta=0.12)",16,13,0.0004690090741942642,3.596351810201067E-05
"Compact-symmetric(beta=0.12)",16,14,8.96093850781905E-05,6.871228979750432E-06
"Compact-symmetric(beta=0.12)",16,15,1.975216723810707E-05,1.5145920689103227E-06
"Compact-symmetric(beta=0.12)",16,16,2.6614200192663994E-06,2.040771326319709E-07
"Compact-symmetric(beta=0.12)",16,17,9.942612296573084E-07,7.623974395876473E-08
"Compact-symmetric(beta=0.12)",16,18,4.5252337086676953E-07,3.469939780527381E-08
"Compact-symmetric(beta=0.12)",16,19,1.5764048836884695E-07,1.2087839807369258E-08
"Compact-symmetric(beta=0.12)",16,20,5.459689988428408E-08,4.1864789091241155E-09
"Screened-symmetric(length=2)",16,0,13.041245655219772,1
"Screened-symmetric(length=2)",16,1,18.425512669493763,1.412864472966885
"Screened-symmetric(length=2)",16,2,4.792736086320002,0.36750600464317645
"Screened-symmetric(length=2)",16,3,0.9502990223677925,0.07286873106231492
"Screened-symmetric(length=2)",16,4,0.18911243046423828,0.014501101770791799
"Screened-symmetric(length=2)",16,5,0.031997406288926014,0.002453554448314454
"Screened-symmetric(length=2)",16,6,0.004321795992701058,0.00033139441637396465
"Screened-symmetric(length=2)",16,7,0.001310118264821619,0.00010045959561364775
"Screened-symmetric(length=2)",16,8,0.0003371177893552943,2.5850121857060685E-05
